id,voxel,cls,choice,correct
14,0.05,table,table,1
14,0.05,stool,chair,0
14,0.2,piano,piano,1
14,0.1,bottle,stool,0
14,0.2,airplane,airplane,1
14,0.2,bottle,stool,0
14,0.01,stool,stool,1
14,0.2,person,person,1
16,0.05,table,table,1
16,0.05,cup,cup,1
16,0.1,cup,cup,1
16,0.05,airplane,airplane,1
16,0.01,piano,piano,1
16,0.1,table,chair,0
16,0.05,lamp,lamp,1
16,0.01,table,table,1
16,0.01,stool,chair,0
16,0.01,bowl,bowl,1
16,0.01,chair,chair,1
16,0.2,airplane,airplane,1
16,0.05,chair,chair,1
16,0.1,airplane,airplane,1
16,0.2,cup,cup,1
16,0.1,bowl,bowl,1
16,0.05,stool,stool,1
16,0.01,person,person,1
16,0.05,piano,piano,1
16,0.2,chair,chair,1
16,0.1,lamp,lamp,1
16,0.2,bottle,bottle,1
16,0.1,chair,chair,1
16,0.01,lamp,cup,0
16,0.1,bottle,bottle,1
16,0.01,bottle,bottle,1
16,0.2,bowl,bowl,1
16,0.01,airplane,airplane,1
16,0.01,cup,cup,1
16,0.2,table,table,1
16,0.05,person,person,1
16,0.2,piano,piano,1
16,0.05,bottle,bottle,1
16,0.2,lamp,lamp,1
16,0.05,bowl,bowl,1
16,0.1,piano,chair,0
16,0.1,stool,chair,0
16,0.1,person,person,1
16,0.2,person,chair,0
16,0.2,stool,chair,0
17,0.1,person,person,1
17,0.1,chair,piano,0
17,0.05,bottle,bottle,1
17,0.01,chair,chair,1
17,0.05,chair,chair,1
17,0.2,lamp,lamp,1
17,0.01,person,person,1
17,0.05,table,table,1
17,0.01,stool,stool,1
17,0.2,piano,piano,1
17,0.1,cup,bottle,0
17,0.2,chair,piano,0
17,0.01,table,table,1
17,0.1,bottle,bottle,1
17,0.05,lamp,lamp,1
17,0.1,stool,stool,1
17,0.1,piano,piano,1
17,0.01,piano,piano,1
17,0.2,person,stool,0
17,0.05,person,person,1
17,0.2,bottle,lamp,0
17,0.01,bottle,bottle,1
17,0.2,bowl,piano,0
17,0.2,cup,piano,0
17,0.01,cup,cup,1
17,0.05,bowl,bowl,1
17,0.05,stool,stool,1
17,0.05,piano,piano,1
17,0.05,airplane,airplane,1
17,0.01,lamp,lamp,1
17,0.2,airplane,airplane,1
17,0.1,airplane,airplane,1
17,0.01,airplane,airplane,1
17,0.05,cup,cup,1
17,0.01,bowl,bowl,1
17,0.1,lamp,lamp,1
17,0.1,table,table,1
17,0.1,bowl,bowl,1
17,0.2,stool,chair,0
17,0.2,table,table,1
15,0.2,piano,chair,0
15,0.01,cup,cup,1
15,0.1,lamp,lamp,1
15,0.05,stool,stool,1
15,0.1,cup,bowl,0
15,0.05,bottle,bottle,1
15,0.1,bowl,bowl,1
15,0.2,person,person,1
15,0.1,table,table,1
15,0.01,piano,piano,1
15,0.05,piano,piano,1
15,0.01,airplane,airplane,1
15,0.01,stool,table,0
15,0.2,lamp,table,0
15,0.1,airplane,airplane,1
15,0.2,airplane,lamp,0
15,0.1,piano,chair,0
15,0.2,cup,bowl,0
15,0.01,person,person,1
15,0.05,chair,chair,1
15,0.2,stool,chair,0
15,0.05,lamp,lamp,1
15,0.01,bowl,bowl,1
15,0.01,lamp,lamp,1
15,0.01,bottle,bottle,1
15,0.01,table,table,1
15,0.1,stool,stool,1
15,0.2,bottle,stool,0
15,0.05,airplane,airplane,1
15,0.1,chair,chair,1
15,0.05,bowl,bowl,1
15,0.2,table,table,1
15,0.1,bottle,bottle,1
15,0.01,chair,chair,1
15,0.2,bowl,bowl,1
15,0.05,cup,cup,1
15,0.2,chair,chair,1
15,0.05,table,table,1
15,0.05,person,person,1
15,0.1,person,person,1
18,0.05,bowl,bowl,1
18,0.05,piano,bottle,0
18,0.01,piano,airplane,0
18,0.1,person,person,1
18,0.05,person,person,1
18,0.1,bowl,bowl,1
18,0.01,bowl,bowl,1
18,0.2,stool,lamp,0
18,0.2,lamp,table,0
18,0.01,airplane,airplane,1
18,0.05,cup,cup,1
18,0.1,stool,stool,1
18,0.2,bottle,bottle,1
18,0.2,bowl,bowl,1
18,0.05,chair,chair,1
18,0.05,stool,chair,0
18,0.1,airplane,airplane,1
18,0.2,chair,chair,1
18,0.01,cup,cup,1
18,0.2,piano,table,0
18,0.2,table,table,1
18,0.01,lamp,lamp,1
18,0.05,lamp,lamp,1
18,0.2,airplane,airplane,1
18,0.1,table,table,1
18,0.2,person,stool,0
18,0.05,airplane,airplane,1
18,0.1,lamp,lamp,1
18,0.1,bottle,bottle,1
18,0.01,chair,chair,1
18,0.2,cup,chair,0
18,0.01,table,table,1
18,0.01,stool,stool,1
18,0.05,table,table,1
18,0.01,person,person,1
18,0.1,chair,chair,1
18,0.1,cup,cup,1
18,0.1,piano,chair,0
18,0.01,bottle,bottle,1
18,0.05,bottle,bottle,1
19,0.1,airplane,airplane,1
19,0.05,chair,chair,1
19,0.05,cup,table,0
19,0.2,stool,chair,0
19,0.2,table,table,1
19,0.1,bowl,bowl,1
19,0.1,table,table,1
19,0.2,airplane,airplane,1
19,0.05,person,person,1
19,0.2,chair,chair,1
19,0.1,stool,stool,1
19,0.05,bottle,bottle,1
19,0.01,bottle,bottle,1
19,0.2,lamp,table,0
19,0.1,lamp,lamp,1
19,0.05,bowl,bowl,1
19,0.1,person,person,1
19,0.2,piano,piano,1
19,0.01,cup,cup,1
19,0.2,cup,lamp,0
19,0.01,airplane,airplane,1
19,0.1,chair,chair,1
19,0.05,airplane,airplane,1
19,0.05,table,table,1
19,0.05,piano,piano,1
19,0.01,table,table,1
19,0.01,bowl,bowl,1
19,0.01,piano,piano,1
19,0.2,bottle,bottle,1
19,0.1,cup,cup,1
19,0.01,person,person,1
19,0.2,person,lamp,0
19,0.01,lamp,lamp,1
19,0.05,lamp,lamp,1
19,0.1,piano,piano,1
19,0.2,bowl,bowl,1
19,0.05,stool,chair,0
19,0.01,stool,stool,1
19,0.01,chair,chair,1
19,0.1,bottle,person,0
20,0.01,stool,stool,1
20,0.01,table,table,1
20,0.2,piano,piano,1
20,0.05,person,person,1
20,0.2,bowl,chair,0
20,0.1,table,table,1
20,0.05,table,table,1
20,0.2,cup,stool,0
20,0.2,chair,chair,1
20,0.1,airplane,airplane,1
20,0.01,piano,piano,1
20,0.2,table,piano,0
20,0.2,bottle,bottle,1
20,0.1,lamp,lamp,1
20,0.01,chair,chair,1
20,0.05,bowl,bowl,1
20,0.05,stool,stool,1
20,0.05,lamp,lamp,1
20,0.01,person,person,1
20,0.1,bottle,bottle,1
20,0.2,airplane,airplane,1
20,0.01,airplane,airplane,1
20,0.2,lamp,lamp,1
20,0.01,bottle,bottle,1
20,0.05,bottle,bottle,1
20,0.01,cup,cup,1
20,0.01,bowl,bowl,1
20,0.1,piano,piano,1
20,0.2,stool,stool,1
20,0.01,lamp,lamp,1
20,0.05,piano,piano,1
20,0.05,cup,bottle,0
20,0.1,cup,cup,1
20,0.2,person,person,1
20,0.1,chair,chair,1
20,0.05,chair,chair,1
20,0.05,airplane,airplane,1
20,0.1,person,person,1
20,0.1,bowl,bowl,1
20,0.1,stool,stool,1
21,0.01,table,stool,0
21,0.05,bottle,bottle,1
21,0.05,table,table,1
21,0.1,airplane,airplane,1
21,0.01,chair,chair,1
21,0.05,stool,chair,0
21,0.01,person,person,1
21,0.2,lamp,lamp,1
21,0.01,airplane,airplane,1
21,0.01,lamp,lamp,1
21,0.2,table,table,1
21,0.05,bowl,bowl,1
21,0.2,piano,piano,1
21,0.1,cup,stool,0
21,0.01,bottle,bottle,1
21,0.1,bowl,bowl,1
21,0.1,bottle,bottle,1
21,0.2,chair,chair,1
21,0.05,person,person,1
21,0.05,piano,piano,1
21,0.2,stool,lamp,0
21,0.05,airplane,airplane,1
21,0.2,person,person,1
21,0.01,stool,chair,0
21,0.2,bottle,stool,0
21,0.01,bowl,bowl,1
21,0.1,table,table,1
21,0.01,cup,bottle,0
21,0.1,person,person,1
21,0.05,chair,chair,1
21,0.1,piano,piano,1
21,0.05,lamp,stool,0
21,0.2,bowl,cup,0
21,0.2,airplane,airplane,1
21,0.1,stool,lamp,0
21,0.01,piano,piano,1
21,0.2,cup,lamp,0
21,0.05,cup,cup,1
